Date,Meal Time,Meal Name,Meal Size,Notes,Safe to Sleep After,Hours Since Meal
2026-05-29,18:30,Lunch,Large,Vegetable soup + 3 large baladi bread,22:30,411h 31m
2026-05-30,19:10,Lunch,Large,Vegetable soup + 4 small baladi bread,23:10,386h 51m
2026-05-31,05:35,Dinner,Normal,A mix of Romi cheese with cold cuts (Lanchon beef + Smoked Turkey),09:35,376h 26m
2026-05-31,21:50,Lunch,Large,Vegetable soup + 2 large 1 med baladi bread,01:50,360h 11m
2026-06-01,17:20,Lunch,Large,Cooked potatoes + 3 medium baladi bread,21:20,340h 41m
2026-06-02,11:20,Lunch,Large,Sausage beef + pasta,15:20,322h 41m
2026-06-03,13:40,Lunch,Large,Vegetable soup + 4 small baladi bread,17:40,296h 21m
2026-06-04,14:26,Lunch,Large,Vegetable soup + 4 small baladi bread,18:26,271h 35m
2026-06-05,14:48,Lunch,Large,Cooked potatoes + 4 small baladi bread,18:48,247h 13m
2026-06-06,16:17,Lunch,Large,Vegetable stew + 4 small baladi bread,20:17,221h 44m
2026-06-07,13:48,Lunch,Large,Vegetable stew + 4 small baladi bread,17:48,200h 13m
2026-06-08,16:26,Lunch,Large,Vegetable stew + 4 small baladi bread,20:26,173h 35m
2026-06-09,16:09,Lunch,Large,Vegetable stew + 4 small baladi bread,20:09,149h 52m
2026-06-10,16:40,Lunch,Large,Vegetable stew + 4 small baladi bread,20:40,125h 21m
2026-06-11,16:14,Lunch,Large,Vegetable stew + 4 small baladi bread,20:14,101h 47m
2026-06-12,16:58,Lunch,Large,Foul + 6 eggs + 4 small baladi bread,20:58,77h 3m
2026-06-13,19:26,Lunch,Large,Vegetable stew + 4 small baladi bread,23:26,50h 35m
2026-06-14,20:00,Lunch,Large,Koshary + Beef Lazania,00:00,26h 1m
